"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 09 10:52:51 CST 2022","Wed Mar 09 10:52:52 CST 2022","171","testcases","test_testcases","TestCase","","","模块2OK家长调用-分类列表_冒烟","气死"
"passed","Wed Mar 09 10:52:52 CST 2022","Wed Mar 09 10:52:52 CST 2022","32","testcases","test_testcases","TestCase","","","模块3OK家长调用-分类列表_冒烟","气死"
"passed","Wed Mar 09 10:52:52 CST 2022","Wed Mar 09 10:52:52 CST 2022","33","testcases","test_testcases","TestCase","","","模块3OK学生调用-分类列表_冒烟",""
"passed","Wed Mar 09 10:52:48 CST 2022","Wed Mar 09 10:52:50 CST 2022","2122","testcases","test_testcases","TestCase","","","OK家长调用-分类列表_冒烟","没事都过去了"
"passed","Wed Mar 09 10:52:50 CST 2022","Wed Mar 09 10:52:50 CST 2022","108","testcases","test_testcases","TestCase","","","模块2OK家长调用-分类列表_冒烟","加油未来"
"passed","Wed Mar 09 10:52:50 CST 2022","Wed Mar 09 10:52:50 CST 2022","652","testcases","test_testcases","TestCase","","","模块3OK家长调用-分类列表_冒烟","气死"
"passed","Wed Mar 09 10:52:50 CST 2022","Wed Mar 09 10:52:51 CST 2022","212","testcases","test_testcases","TestCase","","","模块3OK家长调用-分类列表_冒烟",""
"passed","Wed Mar 09 10:52:51 CST 2022","Wed Mar 09 10:52:51 CST 2022","459","testcases","test_testcases","TestCase","","","OK家长调用-分类列表_冒烟","气死"
"passed","Wed Mar 09 10:52:51 CST 2022","Wed Mar 09 10:52:51 CST 2022","323","testcases","test_testcases","TestCase","","","OK学生调用-分类列表_冒烟",""
"passed","Wed Mar 09 10:52:52 CST 2022","Wed Mar 09 10:52:52 CST 2022","95","testcases","test_testcases","TestCase","","","模块2OK学生调用-分类列表_冒烟",""
"passed","Wed Mar 09 10:52:44 CST 2022","Wed Mar 09 10:52:48 CST 2022","3322","testcases","test_testcases","TestCase","","","教师机登录_正常","登录-获取token"
